Sr.No,Name,CMP,P/E,Mar_cap,Div_yid,NP_Qtr,Qtr_profit_var,Sales_Qtr,Qtr_Profit_var,ROCE,Sales_growth,Sales_Var_10_years,ROE
1,EKI Energy,446.65,3.55,1228.97,1.12,38.09,-76.34,406.57,-40.89,236.09,843.95,105.05,176.17
2,Lloyds Metals,570.4,24.28,25372.77,0.09,403.25,52.7,1965.52,133.25,81.99,212.58,16.01,90.48
3,Jyoti Resins,1506.5,34.04,1807.8,0.17,15.74,73.54,61.18,-4.27,72.9,18.13,38,55.12
4,Guj. Themis Bio.,801.85,20.11,1164.98,0.67,17.72,-0.28,49.59,10.35,61.14,20.63,18.04,45.92
5,TCS,3367.1,28.17,1232039.19,1.43,11120,16.84,59381,12.55,59.11,16.56,13.6,46.92
6,Swaraj Engines,2028.5,18.25,2463.86,4.54,40.92,3.49,399.83,0.37,55.22,16.49,11.49,41.11
7,Apar Inds.,4862.7,26.11,18608.88,0.82,197.43,61.22,3773.01,21.98,51.14,41.83,11.95,32.27
8,Britannia Inds.,4535.05,51.25,109234.98,1.59,455.45,35.66,4010.7,8.37,48.84,15.08,10.18,66.62
9,Refex Industries,695.15,12.35,1536.77,0,22.01,59.05,381.37,43.81,48.06,178.9,57.88,46.65
10,Tata Elxsi,7008.15,57.48,43644.26,0.86,188.85,2.24,850.27,17.13,47.74,23.91,17.92,41.07
11,Gensol Engineer.,1709.35,83.38,2088.64,0,12.43,19.63,146.63,45.63,46.26,141.68,85.97,54.71
12,Abbott India,23399.6,48.09,49724.15,0.77,290.24,41.14,1479,13.41,41.13,10.36,12.46,31.61
13,CRISIL,3815.75,46.32,27895.56,1.26,150.58,9.99,771.02,15.33,41.06,17.74,10.97,32.93
14,Infosys,1388.8,23.36,576401.7,2.45,5945,10.91,37933,10.05,40.67,17.17,13.78,31.82
15,Ashoka Buildcon,100.15,8.8,2811.44,0,71.98,-49.67,1935.16,3.01,40.65,23.9,15.9,26.57
16,Permanent Magnet,1578.7,41.98,1357.68,0.1,6.79,61.67,43.64,24.58,40.14,43.85,14.18,30.79
17,EID Parry,456.05,10.38,8095.69,2.08,324.9,-57.82,7026.45,-1.68,39.29,33.47,11.97,16.25
18,Sonata Software,1003.9,30.32,14075.92,1.57,120.12,11.47,2015.53,13.3,39.12,26.75,18.97,37.68
19,Sharda Motor,855.85,11.79,2544.58,0.95,55.09,23.22,654.1,4.19,39.08,13.06,11.63,29.74
20,Expleo Solutions,1407.85,17.88,2184.95,0.36,20.19,-12.06,225.12,5.99,38.83,35.46,18.79,28.82
21,Coromandel Inter,1069.95,15.69,31495.1,1.12,494.03,-1.01,5693.39,-0.62,38.28,39.74,12.61,28.12
22,Mazagon Dock,1872,33.05,37756.37,0.49,286.62,32.07,2172.76,-2.58,38.2,15.12,12.88,28.61
23,Cigniti Tech.,770.2,11.9,2164.65,0.39,44.56,43.74,439.53,16.29,38.15,26.1,27.01,32.09
24,LTIMindtree,5085.15,33.78,150472.38,1.18,1152.3,4.15,8702.1,13.84,37.74,72.49,24.03,28.55
25,Shivalik Bimetal,517.7,39.17,2982.17,0.1,20.23,18.23,113.07,15.74,37.71,23.97,18.33,33.03
26,Fineotex Chem,277.5,32.62,3073.27,0.29,26.13,29.89,132.23,-2.61,37.3,16.5,18.36,28.92
27,Avantel,214.15,51.53,1736.54,0.09,8.69,72.76,68.9,155.28,37.08,65.95,13.64,30.72
28,eClerx Services,1647.65,16.29,8077.66,0.06,106.66,7.18,684.48,10.79,37.05,18.44,14.89,29.78
29,Likhitha Infra.,273.35,17.4,1078.37,0.46,15.83,13.8,99.26,24.54,36.16,31.74,24.43,27.16
30,Solar Industries,4348.65,50.16,39350.96,0.18,201.59,15.98,1682.21,4.12,35.98,47.51,20.72,33.38
31,D-Link India,323.25,12.83,1147.69,1.55,20.72,32.74,297.69,1.56,34.68,13.27,12.72,26.05
32,JTL Industries,382.1,31.12,3222.71,0.05,25.37,110.19,504.8,37.16,34.58,26.5,33.44,30.07
33,Stylam Industrie,1605.25,26.47,2720.59,0.16,27.77,32.62,225.68,-3.96,32.24,23.49,21.11,26.33
34,WPIL,2962.15,14.7,2893.16,0.68,40.43,29.63,357.71,19.55,31.72,46.83,13.39,26.25
35,Coforge,4920.15,40.32,30065.69,1.3,175.7,10.42,2221,21.41,31.61,23.62,14.77,25.13
36,Monarch Networth,328.1,23.36,1111.26,0.3,17.03,37.09,41.34,26.97,31.19,17.87,19.96,22.12
37,Gravita India,729.05,23.89,5033.21,0.6,52.55,22.48,703.39,21.34,31.11,24.48,21.54,41.22
38,Brightcom Group,25.4,3.62,5125.52,1.18,321.48,15.96,1690.32,14.16,30.91,30.11,16.54,22.3
39,R Systems Intl.,508.9,46.87,6020.46,1.28,14.43,-54.65,406.78,8.48,30.64,18.93,12.54,27.73
40,Vinati Organics,1809.9,42.27,18602.52,0.39,83.24,-17.74,431.03,-14.87,30.35,15.79,14.13,22.63
41,Persistent Sys,4851.7,38.62,37079.12,0.82,228.77,8.11,2321.18,23.59,30.3,38.29,20.49,25.32
42,Schaeffler India,2988.95,51.74,46718.39,0.8,237.28,10.56,1829.14,4.59,28.98,11.8,17.15,21.88
43,Raghav Product.,536.75,47.44,1231.98,0.09,5.95,2.23,30.17,-9.83,28.46,18.85,23.12,21.14
44,Saksoft,344,40.7,3635.74,0.2,25.15,41.29,183.47,23.95,28.41,33.2,15.4,22.67
45,HCL Technologies,1173.7,21.1,318502.87,4.09,3531,7.62,26296,12.07,28.28,17.12,17.15,23
46,Timken India,3204.95,66.45,24107.23,0.05,90.14,-23.64,717.58,2.62,27.99,16.03,15.13,21.13
47,Kewal Kir.Cloth.,712.05,33.36,4388.02,0.7,33.84,56.74,178.4,15.44,27.86,19.79,10.24,23.26
48,V I P Inds.,678.9,58.14,9631.17,0.66,57.75,-34.45,636.13,7.71,27.85,27.12,10.02,29
49,Grindwell Norton,2190.65,66.38,24254.88,0.66,96.88,4.81,668.35,4.76,27.78,16.29,10.38,20.74
50,APL Apollo Tubes,1549.75,60.13,42979.34,0.32,193.62,60.45,4544.9,32.17,27.67,23.66,23.19,24.36
51,Indraprastha Gas,429.2,20.54,30044.03,3.03,438.4,4.17,3406.99,6.67,27.28,48.85,15.44,20.61
52,Dhanuka Agritech,770.25,16.15,3510.67,1.82,32.94,-32.93,369.07,-6.02,27.01,11.27,11.31,21.32
53,Caplin Point Lab,1057.1,20.38,8025.69,0.43,104.23,21.7,395.32,14.15,26.82,15.24,29.9,22.37
54,Mahanagar Gas,980.75,9.95,9687.63,2.65,368.4,98.92,1537.79,5.71,26.79,45.07,15.32,20.44
55,KMC Speciality,73.31,43.45,1195.69,0,6.94,13.58,40.84,16.52,26.38,16.36,18.37,26.65
56,Action Const.Eq.,791.1,48.3,9420.67,0.13,67.57,55.32,651.61,30.93,26.2,28.12,12.44,18.78
57,Chamanlal Setia,216.4,9.11,1119.51,0,27.47,23.35,263.35,-35.74,26.19,12.24,17.68,23.12
58,Redington,154.35,9.1,12064.03,4.66,255.2,-21.22,21187.18,26.09,25.94,26.92,12.63,21.89
59,KEI Industries,2454.75,44.73,22139.99,0.12,121.39,16.98,1782.57,13.87,25.82,13.62,15.34,20.21
60,Mastek,2103.4,23.68,6437.58,0.33,73.53,-9.16,725.25,27.18,25.4,21.49,14.13,20.15
61,AIA Engineering,3623.45,30.05,34176.51,0.44,272.52,42.98,1239.58,14.81,25.22,29.76,10.86,20.22
62,Titan Company,3050.45,84.16,270814.73,0.33,756,-4.08,11897,25.99,25.13,23.76,14.89,30.75
63,Volt.Transform.,5129.2,23.16,5189.27,0.78,50.78,90.33,322.19,19.27,25.07,16.32,10.39,19.18
64,Vadilal Inds.,2754.7,16.81,1980.63,0.05,71.01,43.57,410.91,5.04,25,16.8,12.57,27.73
65,PSP Projects,788.3,20.09,2837.88,0.63,36.72,28.89,509.56,47.6,24.53,17.69,22.31,17.92
66,Blue Star,747.65,49.97,14401.82,1.61,83.37,12.26,2226,12.59,24.46,17.82,10.56,23.41
67,K P R Mill Ltd,684.95,29.63,23412.55,0.58,202.84,-10.52,1610.73,1.63,24.44,12.84,14.03,23.38
68,Newgen Software,910.9,35.61,6374.49,0.55,27.97,48.46,223.6,33.33,23.95,28.59,16.65,19.97
69,Agarwal Indl.,821.5,12.75,1228.78,0.3,27.57,17.52,628.76,8.26,23.84,16.48,32.51,26.6
70,Berger Paints,705.25,71.34,68509.57,0.45,354.91,39.82,3029.51,9.78,23.78,11.46,12.59,20.44
71,Grauer & Weil,133.4,24.88,3024.25,0.6,36.9,27.99,200.26,0.7,23.68,18.12,11.6,17.99
72,GMM Pfaudler,1509.15,36.48,6784.72,0.13,54.27,21.93,912.27,23.41,23.18,22.82,31.04,24.94
73,Control Print,732.4,21.73,1196.13,1.23,14.48,22.05,83.61,26.26,23.11,20.01,14.32,19.12
74,Thejo Engg.,1589.9,52.1,1701.35,0.13,13.5,20.99,134.69,20.83,22.8,11.72,14.16,18.08
75,Jash Engineering,1476.6,33.86,1776.34,0,-3.37,18.6,64.22,38.23,22.54,13.75,17.24,24.31
76,Tech Mahindra,1210.8,26.94,118022.32,2.64,703.6,-38.8,13159,3.55,22.49,13.96,22.73,17.62
77,Marksans Pharma,111.95,18.58,5073.17,0.45,70.44,14.97,500.03,15.28,22.48,21.75,15.5,18.61
78,J B Chem & Pharm,2668.15,46.22,20668.56,0.67,142.32,35.5,896.2,14.19,22.41,25.26,13.78,17.63
79,La Opala RG,442.45,37.31,4911.2,0.45,28.72,43.03,86.22,4.95,22.32,22.46,11.48,16.23
80,Power Mech Proj.,3918.85,26.69,5841.58,0.04,50.97,29.27,865.13,15.87,22.22,31.24,14.43,17.88
81,NESCO,669.2,15.06,4715.18,0.67,76.1,41.63,136.59,32.53,21.82,57.37,14.3,16.74
82,P I Industries,3760.2,42.26,57049.05,0.27,382.9,45.92,1910.4,23.79,21.69,21.43,18.88,18.46
